Z,A,E0,ThetaDeg,nu,cross,dataSet,ratio,ratio_error,normalization,normError,system_err,error,normCross,normCrossError,Veff,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,W2original,Ffoc2,Ep,E0original,R,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),RT_QD_data,qvbin,qvcenter,Q2bin,Q2center,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2
26,56,0.15919999999999998,90.0,0.00362,7822.884165,Altemus:1973,15.26802615,0.145700738,1.0,0.0,0.0,156.4576833,7822.884165,156.4576833,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0031881824072823185,0.8430573110490001,1.1219362118521883,0.15557999999999997,0.1503,4.433234524286382,0.049536672,0.049549776399999995,0.2225977906449208,0.8376126470490001,0.3332745571724182,-0.0002491632962958466,-31396615.31733558,-627932.3063467116,0.0011786441268832675,282.910593089564,2213176.7987911087,44263.535975822175,5.6838619654553995,0.11367723930910799,4.198178698297491e-13,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.006550559895278605,0.006952915229923917,0.33307760420767657,0.0,0.0,0.0,0.0,0.0,0.0068228442274665705,0.007359616337646561,0.3331185355169005,0.0,0.0,0.0,0.0,0.08849076,6.317541576420635e-07,0.03827611,4.5742971786982974e-10,2.310564279655511,0.0,0.0,0.03745509,4.2706371786982975e-10,1.0,0.0880644,3.4823019852455815e-07,0.0382759,4.5740701786982974e-10,2.2997158586529407,0.0,0.0,0.03745509,4.2706371786982975e-10,1.0
26,56,0.15919999999999998,90.0,0.00742,36746.99551,Altemus:1973,2.591994221,0.04830599,1.0,0.0,0.0,734.9399102,36746.99551,734.9399102,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.006988182407282319,0.8513304658490001,1.1219362118521883,0.15177999999999997,0.1503,4.433234524286382,0.048326752,0.048381808400000004,0.21995865156888011,0.845953441849,0.333080358122296,-0.00020048426229333268,-183291172.53220958,-3665823.4506441914,0.0011786441268832675,283.24046965929153,10408236.266820278,208164.72533640554,26.730344487962892,0.5346068897592577,2.4669900944264296e-07,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.006550559895278605,0.006952915229923917,0.33307760420767657,0.0,0.0,0.0,0.0,0.0,0.0068228442274665705,0.007359616337646561,0.3331185355169005,0.0,0.0,0.0,0.0,0.08849076,6.317541576420635e-07,0.08973118,7.539890094426431e-07,0.9861662394656285,0.0,0.0,0.08978168,7.279631094426429e-07,1.0,0.0880644,3.4823019852455815e-07,0.0897312,7.539642094426429e-07,0.9815304481522058,0.0,0.0,0.08978168,7.279631094426429e-07,1.0
26,56,0.15919999999999998,90.0,0.00961,53536.90908,Altemus:1973,1.645089369,0.02228556,1.0,0.0,0.0,1070.7381816,53536.90908,1070.7381816,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.009178182407282319,0.856098415589,1.1219362118521883,0.14958999999999997,0.1503,4.433234524286382,0.047629456,0.0477218081,0.21845321718848637,0.850760373589,0.3329030073067796,-0.0001724257276750583,-310492580.2075894,-6209851.604151787,0.0011786441268832675,283.5421051596253,15179967.904282657,303599.35808565316,38.98506538434462,0.7797013076868925,3.077352342669721e-06,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0,0.006550559895278605,0.006952915229923917,0.33307760420767657,0.0,0.0,0.0,0.0,0.0,0.0068228442274665705,0.007359616337646561,0.3331185355169005,0.0,0.0,0.0,0.0,0.08849076,6.317541576420635e-07,0.07316624,1.7928702342669722e-05,1.2096492061187545,0.0,0.0,0.07340879,1.7440792342669722e-05,1.0,0.0880644,3.4823019852455815e-07,0.07316643,1.792811234266972e-05,1.2039600184318247,0.0,0.0,0.07340879,1.7440792342669722e-05,1.0
26,56,0.15919999999999998,90.0,0.01869,111708.1714,Altemus:1973,0.85591769,0.013120795,1.0,0.0,0.0,2234.1634280000003,111708.1714,2234.1634280000003,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.018258182407282317,0.8758669012690001,1.1219362118521883,0.14051,0.1503,4.433234524286382,0.044738384,0.045087700099999996,0.21233864485768952,0.8706904832690001,0.3316072131938614,-5.620352691398898e-05,-1987565149.9763086,-39751302.99952617,0.0011786441268832675,285.7569831127899,31921390.04831044,638427.8009662089,81.98024436148228,1.639604887229646,0.00014894775295620004,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,1.0,0.016550559895278604,0.01695062454878382,0.3318105361829672,0.0,0.0,0.0,0.0,1.0,0.016550559895278604,0.016933968545407168,0.3317478039176391,0.0,0.0,0.0,0.0,0.02182055,0.0067604758473611476,0.02158042,0.0098337127529562,0.8788194995087334,0.0,0.0,0.02158295,0.009840621752956202,1.0,0.02179406,0.006975835973417421,0.02158044,0.0098337227529562,0.8870140457404545,0.0,0.0,0.02158295,0.0098406207529562,1.0
26,56,0.15919999999999998,90.0,0.02479,133527.7029,Altemus:1973,0.681162021,0.011109305,1.0,0.0,0.0,2670.554058,133527.7029,2670.554058,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.024358182407282318,0.889147491869,1.1219362118521883,0.13440999999999997,0.1503,4.433234524286382,0.042796143999999994,0.0434106881,0.2083523172417336,0.884079653869,0.33017252555029214,2.160432197687428e-05,6180601411.279228,123612028.22558457,0.0011786441268832675,288.2320659863974,38486965.673284866,769739.3134656975,98.84190023845385,1.9768380047690772,0.00032389137417878586,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,2.0,0.026550559895278606,0.02694641869192793,0.32947152821584447,0.0,0.0,0.0,0.0,2.0,0.026550559895278606,0.02693396854540717,0.32935126432681416,0.0,0.0,0.0,0.0,0.03504089,0.012722355980495469,0.03260033,0.012717321374178787,1.0467239121331424,0.0,0.0,0.03263768,0.012709631374178786,1.0,0.03541336,0.012863019923251907,0.03260078,0.012717411374178787,1.0579583566991622,0.0,0.0,0.03263768,0.012709631374178786,1.0
26,56,0.15919999999999998,90.0,0.03092,138744.0039,Altemus:1973,0.701788887,0.011414547,1.0,0.0,0.0,2774.880078,138744.0039,2774.880078,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.030488182407282318,0.9024933968490001,1.1219362118521883,0.12827999999999998,0.1503,4.433234524286382,0.040844351999999993,0.041800398399999994,0.2044514573193353,0.897534672849,0.3282116851790048,9.93829276590682e-05,1396054706.4578278,27921094.129156556,0.0011786441268832675,291.65415236698954,40465264.853456795,809305.2970691358,103.92255148719853,2.0784510297439707,0.0005649017030543502,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0,0.0,0.0,0.0,0.0,0.9102633077183422,0.0375796055293095,0.32578108275661893,0.0,0.0,0.0,0.0,0.0,0.913755259295222,0.03911390222580317,0.32504523592981377,0.004380372,8.62235e-11,0.03048383,0.01208885170305435,1.0,0.02776709,0.013881996338303984,0.03043824,0.01208645170305435,1.0033066029985953,0.004623169,1.321825e-10,0.03048411,0.01208884170305435,1.0,0.02735141,0.01435480427141087,0.03043824,0.01208645170305435,1.0103554977072404
26,56,0.15919999999999998,90.0,0.03703,130272.0555,Altemus:1973,0.731192884,0.01258213,1.0,0.0,0.0,2605.44111,130272.0555,2605.44111,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.03659818240728232,0.9157957589090001,1.1219362118521883,0.12216999999999999,0.1503,4.433234524286382,0.038898928,0.0402701489,0.20067423576533186,0.9109457929090001,0.3256796729839487,0.00017630611450704958,738896979.6324965,14777939.59264993,0.0011786441268832675,296.1414249682183,38578952.14930882,771579.0429861764,99.07813912939758,1.9815627825879518,0.0008680756215874496,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0,0.0,0.0,0.0,0.0,0.9102633077183422,0.0375796055293095,0.32578108275661893,0.0,0.0,0.0,0.0,0.0,0.913755259295222,0.03911390222580317,0.32504523592981377,0.004380372,8.62235e-11,0.02785619,0.013522495621587449,1.0,0.02776709,0.013881996338303984,0.02784483,0.013540365621587449,1.009393174355667,0.004623169,1.321825e-10,0.02785606,0.01352204562158745,1.0,0.02735141,0.01435480427141087,0.02784483,0.013540365621587449,1.016484831267316
26,56,0.15919999999999998,90.0,0.04315,118042.4638,Altemus:1973,0.789097389,0.014503255,1.0,0.0,0.0,2360.849276,118042.4638,2360.849276,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.04271818240728232,0.9291198924290001,1.1219362118521883,0.11605,0.1503,4.433234524286382,0.03695032,0.038812242500000003,0.19700822952354047,0.924378862429,0.32249952334634135,0.0002525379935016109,467424573.0840775,9348491.461681549,0.0011786441268832675,301.8891087694203,35635734.19352856,712714.6838705712,91.51939162940458,1.8303878325880916,0.0012135982235797985,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0,0.0,0.0,0.0,1.0,0.9318933803778688,0.04860003153843895,0.3206051513833124,0.0,0.0,0.0,0.0,0.0,0.913755259295222,0.03911390222580317,0.32504523592981377,0.004380372,8.62235e-11,0.02534991,0.014895628223579798,1.0,0.02344623,0.015860317727418975,0.02531159,0.014902028223579798,0.9956184967839251,0.004623169,1.321825e-10,0.0253489,0.014894368223579799,1.0,0.02735141,0.01435480427141087,0.02531159,0.014902018223579798,1.0220723500994962
26,56,0.15919999999999998,90.0,0.04927,100799.2927,Altemus:1973,0.88445065,0.017867189,1.0,0.0,0.0,2015.9858540000002,100799.2927,2015.9858540000002,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.04883818240728232,0.942444025949,1.1219362118521883,0.10992999999999999,0.1503,4.433234524286382,0.035001712,0.0374292449,0.1934663921718705,0.937811931949,0.3186022911529005,0.00032771232167700846,307584689.4745302,6151693.789490605,0.0011786441268832675,309.1076514864847,31157832.637995765,623156.6527599153,80.0192826681825,1.60038565336365,0.0015852198221083984,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0,0.0,0.0,0.0,1.0,0.9318933803778688,0.04860003153843895,0.3206051513833124,0.0,0.0,0.0,0.0,1.0,0.9487850641159322,0.05778107309223019,0.3157629542110671,0.004380372,8.62235e-11,0.02233405,0.0147910298221084,1.0,0.02344623,0.015860317727418975,0.02229552,0.0147793298221084,1.0608981061744132,0.004623169,1.321825e-10,0.02233176,0.014788349822108398,1.0,0.02050744,0.015323982328028833,0.02229552,0.0147793298221084,0.9847671661608476
26,56,0.15919999999999998,90.0,0.05542,81621.32732,Altemus:1973,0.916953969,0.022837168,1.0,0.0,0.0,1632.4265464,81621.32732,1632.4265464,0.0089,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.054988182407282316,0.955833473849,1.1219362118521883,0.10378,0.1503,4.433234524286382,0.033043552000000004,0.0361149284,0.1900392812025977,0.951310849849,0.3138831769262515,0.00040192304097018796,203077004.79917035,4061540.095983407,0.0011786441268832675,318.1159235780799,25965043.924070563,519300.8784814113,66.68320654365084,1.333664130873017,0.0019724643208581813,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.0,0.0,0.0,0.0,2.0,0.9533526110688108,0.0594131285338243,0.31412995208168504,0.0,0.0,0.0,0.0,1.0,0.9493938958824286,0.05064500063064192,0.31276377347189327,0.004380372,8.62235e-11,0.01956678,0.013599084320858181,1.0,0.01967764,0.014645902564364554,0.01952221,0.013571274320858182,1.0466430638277724,0.005536011,2.165264e-09,0.01956273,0.013594534320858182,1.0,0.01844095,0.011848783181455179,0.01952221,0.013571274320858182,0.9064125371558869
