qvcenter,nu,RL,RLerr,RT,RTerr
1.14,0.25478073,0.960083412,0.166256119,7.234579458,0.860145031
1.14,0.286346082,1.167163314,0.197503953,9.402579078,0.858788335
1.14,0.317956795,1.561352225,0.249510178,11.5705787,0.859466683
1.14,0.349595227,2.06988553,0.280663512,13.52218537,0.96766316
1.14,0.38117066,2.318545212,0.322243292,16.1202575,0.860145031
1.14,0.415195519,2.671091343,0.519810245,18.07322086,1.075181288
1.14,0.445478199,2.587144288,0.53017369,20.67061465,0.968341507
1.14,0.476947792,2.399216284,0.540537135,22.9461324,0.859466683
1.14,0.509604299,2.107307331,0.59251186,25.11345367,1.182699417
1.14,0.5433822,1.441148862,0.57169047,27.81836559,1.075859636
1.14,0.5735666,0.951798955,0.623696694,30.5246342,0.96766316
1.14,0.607357101,0.337615211,0.665276474,33.65961863,0.968341507
1.14,0.673000233,1.115535088,0.894059761,39.82274772,0.860823379
1.14,0.703068714,0.148017716,1.091500715,44.89373681,0.860145031
