qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.24,0.05759,0.001,0.00358,1.72e-11,0.00494,0.0,0.0,0.0,0.0,0.0,0.0,1.72e-11,0.00494
0.24,0.05758,0.002,0.00458,1.16e-10,0.00807,0.0,0.0,0.0,0.0,0.0,0.0,1.16e-10,0.00807
0.24,0.05757,0.003,0.00558,8.56e-10,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,8.56e-10,0.0113
0.24,0.05756,0.004,0.00658,5.99e-09,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,5.99e-09,0.0137
0.24,0.05754,0.005,0.00758,3.74e-08,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,3.74e-08,0.0146
0.24,0.05753,0.006,0.00858,2.03e-07,0.014,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-07,0.014
0.24,0.05751,0.007,0.00958,9.48e-07,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,9.48e-07,0.0126
0.24,0.05749,0.00801,0.01058,3.81e-06,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,3.81e-06,0.0111
0.24,0.05747,0.00901,0.01158,1.31e-05,0.00976,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-05,0.00976
0.24,0.05744,0.01001,0.01258,3.88e-05,0.00842,0.0,0.0,0.0,0.0,0.0,0.0,3.88e-05,0.00842
0.24,0.05742,0.01101,0.01358,9.86e-05,0.00699,0.0,0.0,0.0,0.0,0.0,0.0,9.86e-05,0.00699
0.24,0.05739,0.01201,0.01458,0.0013,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0335
0.24,0.05736,0.01301,0.01558,0.00247,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.00247,0.0267
0.24,0.05733,0.01401,0.01658,0.00412,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.00412,0.0223
0.24,0.05729,0.01501,0.01758,0.0061,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0201
0.24,0.05725,0.01602,0.01858,0.00812,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.00812,0.0192
0.24,0.05722,0.01702,0.01958,0.0105,0.0193,0.000453,0.000598,0.0,0.0,0.000172,0.0,0.00984,0.0187
0.24,0.05718,0.01802,0.02058,0.0123,0.0198,0.00104,0.00137,0.0,0.0,0.000336,0.0,0.0109,0.0184
0.24,0.05713,0.01902,0.02158,0.0133,0.0205,0.00167,0.00221,0.0,0.0,0.00049,0.0,0.0112,0.0183
0.24,0.05709,0.02002,0.02258,0.013400000000000002,0.0216,0.00236,0.00313,0.0,0.0,0.00065,0.0,0.0104,0.0185
0.24,0.05704,0.02102,0.02358,0.0128,0.0232,0.00311,0.00414,0.0,0.0,0.000819,0.0,0.0089,0.019
0.24,0.057,0.02203,0.02458,0.0119,0.0248,0.00392,0.00522,0.0,0.0,0.000998,0.0,0.007,0.0196
0.24,0.05695,0.02303,0.02558,0.0111,0.0263,0.00477,0.00636,0.0,0.0,0.00119,0.0,0.00517,0.0199
0.24,0.05689,0.02403,0.02658,0.0108,0.0274,0.00567,0.00757,0.0,0.0,0.00138,0.0,0.00371,0.0198
0.24,0.05684,0.02503,0.02758,0.0108,0.027999999999999997,0.00659,0.00881,0.0,0.0,0.00158,0.0,0.00268,0.0192
0.24,0.05678,0.02604,0.02858,0.0108,0.027700000000000002,0.00714,0.00957,0.0,0.0,0.0017,0.0,0.00196,0.0181
0.24,0.05673,0.02704,0.02958,0.0109,0.0271,0.00768,0.0103,0.0,0.0,0.00181,0.0,0.00144,0.0168
